Comp_OID,Symbolic_name,CodingSystemName,SubmitterFirst,SubmitterLast,Submitter_Email,Submitter2,Contact_person_desc,Contact_person_address,Contact_person_phone,Contact_person_email,Contact_person_info,Resp_body_name,Resp_body_address,Resp_body_phone,Resp_body_email,Resp_body_URL,Resp_body_Type,Resp_body_oid,External_OID_flag,externalOIDsubType,replacedBy,Oid_Type,assignment_status,AA_OID,AA_description,Object_description,Date_begun,Date_finalized,Entry_Timestamp,T396mnemonic,Preferred_Realm
2.16.840.1.113883.4.3.41,OregonDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Oregon Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.46,SouthDakotaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,South Dakota Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.45,SouthCarolinaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,South Carolina Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.31,NebraskaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Nebraska Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.50,VermontDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Vermont Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.30,MontanaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Montana Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.44,RhodeIslandDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Rhode Island Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.16,IdahoDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Idaho Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.5,ArkansasDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Arkansas Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.9,ConnecticutDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Connecticut Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.8,ColoradoDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Colorado Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.6,CaliforniaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,California Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.33,NewHampshireDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,New Hampshire Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.11,DCDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,District of Columbia Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.10,DelawareDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Delaware Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.12,FloridaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Florida Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.4,ArizonaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Arizona Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.2,AlaskaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Alaska Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.1,AlabamaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Alabama Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3,USDLN,,,,masked,,,,,masked,,,,,,,,,Int,14,,4,Complete,,,"United States Driver License Number.  These identifiers are assigned by each state.  The OID numbers in this branch have been assigned according to FIPS PUB 5-2 numeric state codes.  U.S. territories have not been included.  This branch is to be maintained such that each driver license assigning authorities has one entry, independent of political organization and independent of FIPS PUB 5-2.", , , ,,UV
2.16.840.1.113883.4.3.17,IllinoisDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Illinois Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.26,MichiganDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Michigan Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.29,MissouriDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Missouri Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.18,IndianaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Indiana Bureau for Motor Vehicles (BMV), , , ,,UV
2.16.840.1.113883.4.3.28,MississippiDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Mississippi Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.25,MassachusettsDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Massachusetts Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.24,MarylandDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Maryland Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.23,MaineDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Maine Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.13,GeorgiaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Georgia Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.22,LouisianaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Louisiana Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.21,KentuckyDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Kentucky Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.20,KansasDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Kansas Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.19,IowaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Iowa Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.3.27,MinnesotaDLN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,Minnesota Motor Vehicle Bureau, , , ,,UV
2.16.840.1.113883.4.4,EIN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,"U.S. IRS Assigned Employer Identification Number EIN.  An EIN is a nine-digit number (for example, ?12-3456789?) assigned to sole proprietors, corporations, partnerships, estates, trusts, withholding agents, and other entities for tax filing and reporting purposes.  An EIN can not be used in place of a social security number (SSN).", , , ,,UV
2.16.840.1.113883.4.5,PTIN,,,,masked,,,,,masked,,,,,,,,,Int,,,4,Complete,,,U.S. IRS Assigned Preparer Tax Identification Number PTIN.  Section 3710 of the Internal Revenue Service Restructuring and Reform Act of 1998 defines the PTIN.  The PTIN has the form of an SSN.  It is used as an alias SSN to identify paid preparers of tax returns., , , ,,UV
2.16.840.1.113883.5,v3codeSystems,HL7 V3 Coding Systems,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,HL7 maintained code systems, , , ,,UV
2.16.840.1.113883.5.1,administrativeGender,Administrative Gender,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,The gender of a person used for adminstrative purposes (as opposed to clinical gender), , , ,,UV
2.16.840.1.113883.5.2,MaritalStatus,MaritalStatus,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Marital status, , , ,,UV
2.16.840.1.113883.5.1001,actMood,Act Mood,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,HL7 Structural code system Act mood code; as specified by the Version 3 Data Types specification., ,11/09/2009 12:00, ,,UV
2.16.840.1.113883.5.1002,actRelationshipType,Act Relationship Type,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Act relationship type codes, ,22/12/2009 12:00, ,,UV
2.16.840.1.113883.5.1003,Service actor type,Service actor type code,,,masked,,,,,masked,,,,,,,,,Int,,,5,Unknown,,,Service actor type code; as specified by the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1004,Service target type,Service target type code,,,masked,,,,,masked,,,,,,,,,Int,,,5,Unknown,,,Service target type code; as specified by the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1007,DataType,DataType,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Data type code; as specified by the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1008,nullFlavor,Null Flavor,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Flavors of null.  As specified in  of the Version 3 Data Types specification., ,22/12/2009 12:00, ,,UV
2.16.840.1.113883.5.1009,CompressionALgorithm,CompressionALgorithm,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Compression codes.  As specified by of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1010,IntegrityCheckAlgorithm,IntegrityCheckAlgorithm,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Integrity check algorithm.  As specified by  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1011,TelecommunicationAddressUse,TelecommunicationAddressUse,,,masked,,,,,masked,,,,,,,,,Int,,2.16.840.1.113883.5.1119,5,Retired,,,"Telecommunication address use code.  As specified in  of the Version 3 Data Types specification.  Retired as of the Novebmer 2008 Harmonization meeting, and replaced by 2.16.840.1.113883.5.1119 AddressUse.", , , ,,UV
2.16.840.1.113883.5.1012,PostalAddressUse,PostalAddressUse,,,masked,,,,,masked,,,,,,,,,Int,,2.16.840.1.113883.5.1119,5,Retired,,,"Postal Address use code.  As defined by  of the Version 3 Data Types specification.  Retired as of the Novebmer 2008 Harmonization meeting, and replaced by 2.16.840.1.113883.5.1119 AddressUse.", , , ,,UV
2.16.840.1.113883.5.1013,Postal Address part type,Postal Address part type code,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Postal Address part type code.  As defined by  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1014,Person Name part type,Person Name part type,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Person Name part type as defined by  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1015,Person Name part type,Person Name part qualifier,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Person Name part qualifier as defined by  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1016,OrganizationNameType,OrganizationNameType,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Organization name type code as defined by  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1017,CalendarType,CalendarType,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Calendar type.  As specified in  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1018,Calendar cycle one letter code,Calendar cycle one letter code,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Calendar cycle one letter code.  As specified in  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1019,Calendar cycle two letter code,Calendar cycle two letter code,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Calendar cycle two letter code.  As specified in  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1020,ProbabilityDistributionType,ProbabilityDistributionType,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Probability distribution type code.  As specified in  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1021,PeriodicIntervalOfTimeAbbreviation,PeriodicIntervalOfTimeAbbreviation,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Periodic Interval of Time literal abbreviations.  As specified in of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1022,GTSAbbreviation,GTSAbbreviation,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,GTS literal abbreviation.  As specified in  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1023,Event code,Event codes,,,masked,,,,,masked,,,,,,,,,Int,,,5,Unknown,,,Event codes for event-related periodic intervals.  As specified in  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.6,externalCodeSystems,HL7 Registered External Coding Systems,,,masked,,,,,masked,,,,,,,,,Int,14,,6,Complete,,,External coding systems registered in HL7 with an HL7 OID, , , ,,UV
2.16.840.1.113883.6.1,loinc,Logical Observation Identifier Names and Codes,Clement J.,McDonald,masked,,Daniel Vreeman,"410 West 10th StreetSuite 2000Indianapolis, IN 46202",317-274-9229,masked,Associate Director for Terminology Services,Regenstrief Institute,"410 West 10th StreetSuite 2000Indianapolis, IN 46202",317-423-5500 ,loinc@regenstrief.org,http://www.regenstrief.org,Academic,,Int,,,6,Complete,,HL7,"Logical Observation Identifiers Names and Codes (LOINC&#174;) provides a set of universal codes and names for identifying laboratory and other clinical observations. One of the main goals of LOINC is to facilitate the exchange and pooling of results for clinical care, outcomes management, and research. LOINC was initiated by Regenstrief Institute research scientists who continue to develop it with the collaboration of the LOINC Committee. The LOINC table, LOINC codes, and LOINC panels and forms file are copyright &#169; 1995-2010, Regenstrief Institute, Inc. and the LOINC Committee and available at no cost (http://loinc.org) under the license at http://loinc.org/terms-of-use.The laboratory portion of the LOINC database contains the usual clinical laboratory categories of chemistry, hematology, serology, microbiology (including parasitology and virology), toxicology; as well as categories for drugs and the cell counts, antibiotic susceptibilities, and more. The clinical portion of the LOINC database includes entries for vital signs, hemodynamics, intake/output, EKG, obstetric ultrasound, cardiac echo, radiology report titles, pulmonary ventilator management, document and section titles, patient assessment instruments (e.g. Glascow Coma Score, PHQ-9 depression scale, CMS-required patient assessment instruments), and other clinical observations.",18/07/2007 12:00,14/10/2009 12:00,21/11/2013 3:13,LN,UV
2.16.840.1.113883.6.2,icd9cm,National Center for Health Statistics,Michelle,Williamson,masked,,Donna Pickett,"OCD/Classifications and Public Health Data Standards; National Center for Health StatisticsCenters for Disease Control and Prevention3311 Toledo RoadHyattsville, MD 20782","(301) 458-4434, 1.2.4.	Fax  (301) 458-4022",masked,,National Center for Health Statistics,"OCD/Classifications and Public Health Data Standards; National Center for Health StatisticsCenters for Disease Control and Prevention3311 Toledo RoadHyattsville, MD 20782",,,http://www.cdc.gov/nchs/icd9.htm.,Govt body,2.16.840.1.114222,Int,,"2.16.840.113883.6.103, 2.16.840.113883.6.104",6,Retired,,,"The International Classification of Diseases, 9th Revision, Clinical Modification (ICD-9-CM), Volumes I, II (diagnoses) and III (procedures) describes the classification of morbidity and mortality information for statistical purposes and for the indexing of healthcare records by diseases and procedures. The ICD-9-CM codes can be used as the value of the Act.cd attribute.Note that this has been retired in favor of an explicit split between the diagnosis codes and the procedures codes as per the Vocablary TC decision on Wednesday Q4, January 21, 2004.  Replaced by 2.16.840.1.113883.6.103 and 2.16.840.1.113883.6.104 as voted by committee.  -T. Klein", ,7/10/2009 12:00, ,I9C,UV
2.16.840.1.113883.6.3,icd10,ICD10,Ted,Klein,masked,,--Needs CP data--,Avenue Appia 201211 Geneva 27Switzerland,,masked,,World Health Organization,Avenue Appia 201211 Geneva 27Switzerland,+ 41 22 791 21 11,info@who.int,http://www.who.int/classifications/icd/en/,SDO,,Int,14,,6,Complete,,,"International Classification of Diseases revision 10 (ICD 10)Note this does NOT have the CM changes, and is specifically for international use.This node is the ontological branch in the HL7 OID tree.  The actual ICD10 code systems (the various national and international versions) are defined below this node.", ,7/10/2009 12:00,6/10/2009 12:00,,UV
2.16.840.1.113883.6.4,icd10PCS,"International Classification of Diseases, 10th Revision, Procedure Coding System (ICD-10-PCS)",Michelle,Williamson,masked,,Pat Brooks,"CMM, HAPG, Division of Acute Care, Centers for Medicare and Medicaid Services, 7500 Security Boulevard; C4-08-06 Baltimore, MD 21244-1850","(410) 786-5318, 1.2.4.	Fax  (410)   - 786-0169",masked,,Centers for Medicare and Medicaid Services,"7500 Security Boulevard; C4-08-06 Baltimore, MD 21244-1850",,,http://cms.hhs.gov/paymentsystems/icd9/icd10.asp,Govt body,,Int,,,6,Complete,,,"The International Classification of Diseases, 10th Revision, Procedure Coding System (ICD-10-PCS), describes the classification of inpatient procedures for statistical purposes and for the indexing of healthcare records by procedures. The ICD-10-PCS codes can be used as the value of the Act.cd attribute", ,14/10/2009 12:00,14/10/2009 12:00,,UV
2.16.840.1.113883.6.5,snm,SNOMED,,,masked,,,,,masked,,College of American Pathologists,,,,,,,Int,,,6,Complete,,,Systemized Nomenclature in Medicine Reference Terminology (SNOMED RT), ,14/10/2009 12:00,14/10/2009 12:00,SNM,UV
2.16.840.1.113883.6.6,read-Codes,CTV3,David,Robinson,masked,,"Paul Frosdick, NHS Information Authority","Aqueous 2, Rocky lane, Aston cross, Birmingham, UK",+44 (0)121 333 0331,masked,,National Health Service (UK),Aqueous IIAston CrossRocky LaneBirminghamB6 5RQUK,+44 (0)121 333 0333,information@nhsia.nhs.uk,http://www.nhsia.nhs.uk/def/home.asp,Provider,,Int,,,6,Complete,,National Health Service (UK),"Clinical Terms Version 3 - The Read Codes - contains over 200,000 coded concepts arranged in a sub-type hierarchical structure. 	 Top level hierarchy sections:	DisordersFindings MorphologySurgical proceduresRegimes & therapiesInvestigationsStages & scalesOccupationsOrganismsUnitsDrugsAppliances & equipment", ,14/10/2009 12:00,14/10/2009 12:00,,UV
2.16.840.1.113883.6.7,naaccrCodes,NAACCR,Ted,Klein,masked,,Lori Havener,"North American Association ofCentral Cancer Registries, Inc.2121 West White Oaks DriveSuite BSpringfield, IL 62704-6495",(217) 698-0800 Ext. 3,masked,,"North American Association ofCentral Cancer Registries, Inc.","2121 West White Oaks DriveSuite BSpringfield, IL 62704-6495",(217) 698-0800,,http://www.naaccr.org/,,,Int,14,,6,Complete,,,"NAACCR Cancer Registry code lists.  This branch node has the short code list vocabularies used in NAACCR Cancer Registries, as defined in the NAACCR standards.", ,14/10/2009 12:00,24/10/2009 12:00,,UV
2.16.840.1.113883.6.8,ucum,Unified Code for Units of Measure,Harold,Solbrig,masked,,Gunther Schadow,"410 West 10th StreetSuite 2000Indianapolis, IN 46202",,masked,,Regenstrief Institute,"410 West 10th StreetSuite 2000Indianapolis, IN 46202",,loinc@regenstrief.iupui.edu,http://www.regenstrief.org,Academic,,Int,,,6,Complete,,,"Unified Code for Units of Measure.  The Unified Code for Units of Measure is a code system intended to include all units of measures being contemporarily used in international science, engineering, and business. The purpose is to facilitate unambiguous electronic communication of quantities together with their units. The focus is on electronic communication, as opposed to communication between humans. A typical application of The Unified Code for Units of Measure are electronic data interchange (EDI) protocols, but there is nothing that prevents it from being used in other types of machine communication.http://unitsofmeasure.org/", ,14/10/2009 12:00,14/10/2009 12:00,UCUM,UV
2.16.840.1.113883.6.9,iso4217-HL7,ISO 4217 currency code,,,masked,,,,,masked,,,,,,,SDO,,Int,,1.0.4217,6,Deprecated,,,ISO 4217 currency code, ,14/10/2009 12:00, ,,UV
2.16.840.1.113883.6.10,mime,IETF MIME,,,masked,,,,,masked,,,,,,,,,Int,,,6,Complete,,,IETF MIME media types, , , ,,UV
2.16.840.1.113883.6.11,url,URL,,,masked,,,,,masked,,,,,,,,,Int,,,6,Complete,,,Universal Resource Locator (URL) schemes.  Currently there is no single authority for URL schemes.  The authority for URL scheme assignments clearly lies within IANA or W3C and it is likely that a formal URL/URI assigning authority will be formed soon., , , ,,UV
2.16.840.1.113883.6.12,cpt-4,Current Procedure Terminology 4 (CPT-4),Harold,Solbrig,masked,,Dorith Brown,"American Medical Association515 N. State StreetChicago, IL  60610United States",1-312-464-5762,masked,CPT Intellectual Property Services,American Medical Association,"515 N. State StreetChicago, IL  60610United States",1-800-621-8335,,http://www.ama-assn.org/ama/pub/category/3113.html,Prof Soc,,Pxy,,,6,Complete,,HL7,American Medical Association?s Current Procedure Terminology 4 (CPT-4) codes., ,26/01/2010 12:00, ,C4,UV
2.16.840.1.113883.6.13,cdt-ADAcodes,Code on Dental Procedures and Nomenclature,,,masked,,Dr. David Preble,"American Dental Association211 East ChicagoChicago, IL 60611Att. Council on Dental Benefit Programs",312-440-2756,masked,"Director, Council on Dental Benefit Programs",American Dental Association,,,dentalcode@ada.org,http://www.ada.org,Prof Soc,,Int,,,6,Complete,,,"CDT (Code on Dental Procedures and Nomenclature) is the dental procedure/service code taxonomy owned and maintained by the American Dental Association. This taxonomy is updated annually, effective January 1st each calendar year.  CDT is a copyrighted work which may be licensed for use. Licensing information is available online at: http://www.ada.org/3854.aspx", ,14/10/2009 12:00,13/05/2013 11:45,,UV
2.16.840.1.113883.6.14,HPC,HCPCS,,,masked,,,,,masked,,,,,,,,,Int,,,6,Complete,,,"Healthcare Financing Administration (HCFA) Common Procedure Coding System (HCPCS).  Is composed of three ?levels?.  Level I is CPT-4, level II is CDT-2, and level 3 are the HCPCS modifiers.  Only the HCPCS modifiers are maintained by the Alpha-Numeric Editorial Panel, consisting of the Health Insurance Association of America and the Blue Cross and Blue Shield Association.", , , ,,UV
